,Cumulative Worldwide Gross,Gross USA,Opening Weekend USA,budget,critic number,imdbID,user review number
0,1056052054.0,532177324.0,155081681.0,200000000,657.0,tt3748528,1454.0
1,1028570889.0,486295561.0,135060273.0,200000000,538.0,tt2277860,370.0
2,1153304495.0,408084349.0,179139142.0,250000000,624.0,tt3498820,1252.0
3,875457937.0,368384330.0,104352905.0,75000000,278.0,tt2709768,261.0
4,966550600.0,364001123.0,103261464.0,175000000,432.0,tt3040964,519.0
5,783112979.0,363070709.0,135050000.0,58000000,629.0,tt1431045,1277.0
6,1023784195.0,341268248.0,75063401.0,150000000,450.0,tt2948356,564.0
7,873260194.0,330360194.0,166007347.0,250000000,760.0,tt2975590,3377.0
8,745600054.0,325100054.0,133682248.0,175000000,655.0,tt1386697,1905.0
9,632443719.0,270329045.0,35258145.0,75000000,229.0,tt3470600,193.0
10,643031115.0,248757044.0,56631401.0,150000000,369.0,tt3521164,381.0
11,814037575.0,234037575.0,74403387.0,180000000,419.0,tt3183660,645.0
12,677718395.0,232641920.0,85058311.0,165000000,536.0,tt1211837,757.0
13,234874979.0,169387004.0,515499.0,25000000,398.0,tt4846340,383.0
14,415484914.0,162434410.0,60000000.0,120000000,387.0,tt4196776,606.0
15,343471816.0,158848340.0,59253211.0,185000000,454.0,tt2660888,742.0
16,543934787.0,155442489.0,65000000.0,178000000,460.0,tt3385516,747.0
17,346864462.0,153707064.0,46581142.0,125000000,177.0,tt1679335,150.0
18,445636919.0,151101803.0,881104.0,30000000,644.0,tt3783958,1367.0
19,521170825.0,143528619.0,41282042.0,145000000,232.0,tt2267968,178.0
20,278454358.0,138291365.0,40010975.0,9000000,515.0,tt4972582,644.0
21,229147509.0,128344089.0,46018755.0,144000000,661.0,tt1289401,1790.0
22,217196811.0,127440871.0,35535250.0,50000000,231.0,tt1489889,184.0
23,356743061.0,126643061.0,38527856.0,180000000,309.0,tt0918940,422.0
24,238552082.0,125070033.0,35028301.0,60000000,387.0,tt3263904,398.0
25,183936074.0,113257297.0,23817340.0,20000000,190.0,tt4651520,234.0
26,352333929.0,107509366.0,38155177.0,73000000,175.0,tt1985949,180.0
27,389684482.0,103144286.0,41039944.0,165000000,355.0,tt1628841,761.0
28,320270008.0,102470008.0,40406314.0,40000000,375.0,tt3065204,437.0
29,203388186.0,100546139.0,24000000.0,47000000,677.0,tt2543164,1478.0
30,303144152.0,100014699.0,14869736.0,110000000,398.0,tt1355644,902.0
31,36200000.0,97661826.0,34263534.0,19000000,293.0,tt1700841,459.0
32,162526238.0,93432655.0,34703397.0,90000000,363.0,tt2404435,392.0
33,90698542.0,90835030.0,34040000.0,40000000,124.0,tt2869728,67.0
34,159047649.0,89217875.0,26411706.0,9900000,382.0,tt4160708,451.0
35,296477016.0,87242834.0,28871140.0,110000000,307.0,tt1935859,348.0
36,155160045.0,86260045.0,24710273.0,44000000,320.0,tt2140479,383.0
37,245623848.0,82051601.0,35316382.0,135000000,230.0,tt3949660,194.0
38,118587880.0,79003080.0,30870000.0,10000000,274.0,tt4094724,192.0
39,299455833.0,77042381.0,28112000.0,170000000,263.0,tt2567026,203.0
40,143695338.0,76233151.0,21514095.0,65000000,231.0,tt2788732,144.0
41,173185859.0,75395035.0,24536265.0,45000000,354.0,tt3631112,361.0
42,74792994.0,73159525.0,28501448.0,20000000,36.0,tt5325452,50.0
43,182379278.0,72679278.0,21311407.0,70000000,137.0,tt4624424,84.0
45,148868835.0,67268835.0,21688103.0,4900000,302.0,tt4786282,288.0
46,175302354.0,67209615.0,15190758.0,40000000,451.0,tt2119532,670.0
47,179246868.0,66184051.0,29027348.0,110000000,201.0,tt3410834,186.0
48,334901337.0,65075540.0,22383146.0,90000000,275.0,tt3110958,270.0
49,408579038.0,64063008.0,21373064.0,105000000,141.0,tt3416828,109.0
51,205754447.0,62524260.0,21635601.0,60000000,258.0,tt3300542,452.0
52,73798720.0,61693523.0,14812393.0,13000000,70.0,tt4257926,81.0
53,118188581.0,61284947.0,20223544.0,110000000,291.0,tt1860357,241.0
54,117497580.0,60269575.0,11002986.0,38000000,164.0,tt4501244,176.0
55,26120000.0,59573085.0,17861950.0,18000000,175.0,tt3760922,125.0
56,162146076.0,58697076.0,22872490.0,60000000,281.0,tt3393786,312.0
57,64098857.0,57642961.0,129462.0,24000000,313.0,tt2671706,287.0
58,207945075.0,56245075.0,18723269.0,20000000,204.0,tt2674426,283.0
59,199905224.0,55483770.0,19584969.0,140000000,348.0,tt3691740,223.0
61,68850939.0,55121623.0,16800868.0,17000000,379.0,tt4052882,387.0
62,114455140.0,54730514.0,17500000.0,45000000,183.0,tt1711525,141.0
63,240697856.0,54647948.0,10278225.0,125000000,314.0,tt2094766,542.0
64,55030051.0,54030051.0,20242415.0,20000000,77.0,tt3628584,40.0
65,69411370.0,52853219.0,16000000.0,50000000,233.0,tt4172430,282.0
66,123723779.0,51694854.0,123360.0,12000000,358.0,tt3741834,405.0
67,165536477.0,48390190.0,19445035.0,115000000,274.0,tt2381991,184.0
68,76257813.0,48023088.0,12608372.0,60000000,286.0,tt4302938,239.0
69,62201310.0,47695120.0,256498.0,8500000,477.0,tt4034228,620.0
70,433677183.0,47365290.0,24166110.0,160000000,350.0,tt0803096,902.0
71,112343513.0,46813366.0,18750000.0,38000000,166.0,tt1292566,117.0
72,56148540.0,46007113.0,16628170.0,33000000,166.0,tt2823054,136.0
73,334933831.0,45540830.0,18469620.0,150000000,299.0,tt2034800,389.0
75,42487325.0,41715860.0,15564000.0,17000000,41.0,tt4649416,25.0
76,92766958.0,41012075.0,14788157.0,27000000,323.0,tt2241351,184.0
77,109098064.0,40069087.0,12701743.0,85000000,296.0,tt3640424,245.0
78,33003464.0,38562379.0,9445456.0,20000000,228.0,tt3531824,198.0
80,62788218.0,36261763.0,11203270.0,50000000,429.0,tt3799694,339.0
81,68200000.0,35794166.0,10778392.0,8000000,187.0,tt3882082,228.0
82,25339753.0,35537564.0,11111875.0,27500000,177.0,tt1860213,222.0
83,67065200.0,34912982.0,10326356.0,38000000,212.0,tt2304933,330.0
84,79496033.0,34904885.0,14065500.0,9000000,214.0,tt4361050,137.0
85,220021259.0,34343574.0,14860425.0,75000000,303.0,tt3062096,323.0
86,64361194.0,33370166.0,10950705.0,125000000,110.0,tt3095734,70.0
88,48277588.0,31886361.0,65.0,45000000,285.0,tt4572514,206.0
89,150680864.0,31153464.0,14123903.0,140000000,206.0,tt2404233,365.0
90,76168721.0,30982955.0,7102085.0,36000000,186.0,tt4682786,264.0
91,76130534.0,30348260.0,13688751.0,35000000,168.0,tt3717252,173.0
92,62429013.0,30080225.0,11355225.0,22000000,470.0,tt0475290,387.0
94,55969000.0,28848693.0,15650000.0,50000000,247.0,tt1608290,202.0
95,55561162.0,27850912.0,402075.0,1500000,490.0,tt4975722,692.0
96,15265660.0,27550735.0,10288932.0,80000000,196.0,tt2025690,166.0
97,2080000.0,27370107.0,6601313.0,29000000,237.0,tt4136084,171.0
98,26749794.0,26862450.0,621329.0,12000000,403.0,tt2582782,328.0
99,312242626.0,26830068.0,13601682.0,40000000,237.0,tt2592614,322.0
100,30687600.0,26583369.0,12741176.0,10000000,209.0,tt3387542,179.0
102,105831614.0,24479155.0,4730038.0,30000000,107.0,tt2261287,55.0
103,211952420.0,24252420.0,8571785.0,35000000,184.0,tt1473832,113.0
104,24939010.0,23049575.0,7443007.0,35000000,179.0,tt3553442,127.0
105,37357216.0,21587519.0,8000058.0,40000000,317.0,tt3774114,189.0
106,110312958.0,21203260.0,7456525.0,40000000,131.0,tt3522806,169.0
107,45172994.0,20777061.0,9576057.0,5000000,340.0,tt1540011,273.0
111,20611649.0,19985196.0,6878437.0,8500000,40.0,tt4981636,31.0
115,24079268.0,17782178.0,6176680.0,26000000,133.0,tt1798603,90.0
116,17281714.0,17356894.0,6541205.0,25000000,100.0,tt2461150,77.0
119,44128165.0,15785632.0,6084682.0,23000000,252.0,tt1083452,156.0
120,14805854.0,15425870.0,5303775.0,28000000,171.0,tt1355631,90.0
121,28939621.0,14896798.0,5461475.0,40000000,103.0,tt2387499,80.0
122,38803993.0,14268533.0,5767278.0,31500000,163.0,tt3014866,163.0
124,13848959.0,14013564.0,133513.0,3000000,219.0,tt3068194,96.0
125,11692444.0,13958679.0,278715.0,9000000,403.0,tt1619029,279.0
126,21945747.0,12785093.0,3404102.0,25000000,289.0,tt4276820,203.0
128,25905264.0,12545979.0,4765838.0,20000000,245.0,tt2547584,138.0
129,21164799.0,11675178.0,5900528.0,5000000,74.0,tt4667094,70.0
130,34314223.0,11103205.0,359289.0,30000000,319.0,tt4513674,164.0
133,28450387.0,10639114.0,492648.0,22500000,435.0,tt4550098,511.0
134,16706524.0,10377558.0,33000.0,108000000,282.0,tt2361317,138.0
137,20519503.0,9404922.0,3704749.0,60000000,43.0,tt2822672,34.0
140,10367161.0,8805918.0,304933.0,15000000,140.0,tt4341582,58.0
141,17509437.0,8580410.0,112633.0,30000000,265.0,tt1212428,187.0
143,26559557.0,8106986.0,4356941.0,40000000,312.0,tt4731136,288.0
146,7227038.0,7222964.0,3471316.0,20000000,213.0,tt1800302,95.0
147,23737523.0,7079191.0,130880.0,46000000,392.0,tt0490215,351.0
149,6891009.0,6883951.0,3700000.0,10000000,101.0,tt2582500,66.0
151,7313697.0,6462576.0,3294876.0,18500000,35.0,tt1002563,36.0
152,7000000.0,6303853.0,2868956.0,1500000,93.0,tt4258698,37.0
156,5757620.0,5663855.0,111200.0,7000000,211.0,tt4385888,82.0
161,6341855.0,4790573.0,2534884.0,5000000,70.0,tt3216348,53.0
166,4121261.0,4208879.0,105453.0,3000000,271.0,tt4034354,269.0
169,7315248.0,3912052.0,504908.0,8000000,177.0,tt4520364,146.0
170,13819139.0,3901302.0,66510.0,14000000,157.0,tt3387266,68.0
172,6272403.0,3818664.0,2182216.0,10000000,37.0,tt1472584,71.0
175,40919166.0,3730982.0,30909.0,43000000,333.0,tt3416532,186.0
184,553810228.0,3232685.0,985052.0,60720000,71.0,tt4701660,40.0
186,7353544.0,3105269.0,1397434.0,3000000,8.0,tt3367294,11.0
192,2531521.0,2280004.0,1512824.0,21500000,58.0,tt2126235,58.0
195,81036076.0,2129768.0,284776.0,RW 10000000000,308.0,tt5700672,249.0
197,1968494.0,2005473.0,92129.0,RW 10000000000,306.0,tt4016934,119.0
202,24336708.0,1721524.0,114129.0,40000000,168.0,tt2513074,100.0
206,21472253.0,1489848.0,64044.0,1350000,234.0,tt4326444,52.0
207,1390172.0,1478960.0,15972.0,3000000,311.0,tt4048272,111.0
210,1333124.0,1333124.0,589014.0,7000000,465.0,tt1974419,316.0
211,269920.0,1305195.0,79175.0,6000000,312.0,tt4714782,149.0
242,219663.0,292279.0,28472.0,6500000,174.0,tt2321405,35.0
244,282382.0,282382.0,33090.0,2100000,170.0,tt4120176,33.0
297,14397593.0,39000.0,39000.0,20000000,121.0,tt2368619,80.0
1,1263521126.0,504014165.0,174750616.0,160000000,503.0,tt2771200,918.0
2,821763408.0,412563408.0,103251471.0,149000000,642.0,tt0451279,1768.0
3,962119864.0,404353891.0,36169328.0,90000000,282.0,tt2283362,505.0
4,863756051.0,389813101.0,146510104.0,200000000,533.0,tt3896198,839.0
5,880166924.0,334201140.0,117027503.0,175000000,507.0,tt2250912,1023.0
6,700381748.0,327481748.0,123403419.0,35000000,545.0,tt1396484,1260.0
7,853977126.0,315058289.0,122744989.0,180000000,461.0,tt3501632,1043.0
8,1034799409.0,264624300.0,72434025.0,80000000,246.0,tt3469046,162.0
9,614729668.0,229024295.0,93842239.0,300000000,433.0,tt0974015,1510.0
10,619021436.0,226277068.0,88411916.0,97000000,598.0,tt3315342,1281.0
11,1238764765.0,226008385.0,98786705.0,250000000,400.0,tt4630562,478.0
13,525573161.0,188373161.0,50513488.0,100000000,605.0,tt5013056,1856.0
14,254716534.0,176040665.0,33377060.0,5000000,666.0,tt5052448,998.0
15,311950384.0,175750384.0,53003468.0,80000000,379.0,tt4116284,269.0
16,527965936.0,175003033.0,50198902.0,125000000,177.0,tt3874544,187.0
17,431880208.0,173796310.0,8805843.0,84000000,292.0,tt1485796,1017.0
18,794861794.0,172558876.0,62983253.0,230000000,386.0,tt1790809,560.0
19,566652812.0,168052812.0,61025472.0,185000000,532.0,tt3731562,776.0
20,383889151.0,152901115.0,53688680.0,175000000,261.0,tt3606752,254.0
21,490664238.0,146880162.0,56262929.0,150000000,432.0,tt3450958,754.0
23,605425157.0,130168683.0,44680073.0,217000000,271.0,tt3371366,645.0
24,114651938.0,115108515.0,31201920.0,19000000,114.0,tt3564472,164.0
25,374275967.0,114376885.0,46607250.0,55000000,232.0,tt4465564,258.0
26,175089495.0,107825862.0,20553320.0,34000000,536.0,tt3890160,802.0
27,175919130.0,104897530.0,19928525.0,45000000,136.0,tt4765284,116.0
29,351715237.0,102826543.0,28681472.0,55000000,363.0,tt3402236,580.0
30,306515884.0,102092201.0,35006404.0,15000000,261.0,tt5140878,288.0
31,410878571.0,100234838.0,39023010.0,104000000,322.0,tt4649466,527.0
33,158216655.0,92029184.0,30436123.0,40000000,421.0,tt4425200,609.0
34,200405914.0,86089513.0,24531923.0,50000000,135.0,tt4877122,572.0
36,294764262.0,84364229.0,13401586.0,111000000,123.0,tt3411444,82.0
37,174496433.0,81896433.0,526011.0,50000000,386.0,tt6294822,316.0
38,410333326.0,80101125.0,31688375.0,125000000,402.0,tt2345759,705.0
39,176586701.0,75468583.0,21384504.0,30000000,271.0,tt1959563,375.0
40,240745764.0,74262031.0,36160621.0,97000000,545.0,tt2316204,1787.0
43,165142855.0,64304940.0,18222810.0,22000000,132.0,tt1753383,327.0
44,194349972.0,63859435.0,166564.0,19400000,916.0,tt5580390,987.0
46,176928652.0,58060186.0,18503871.0,69000000,312.0,tt1469304,285.0
47,43505116.0,57330873.0,16172119.0,20000000,97.0,tt2872518,227.0
48,145843120.0,56443120.0,175006.0,30000000,358.0,tt4555426,425.0
49,56300000.0,55683845.0,26039025.0,4800000,250.0,tt5308322,222.0
50,157880842.0,54513740.0,322168.0,15000000,504.0,tt5027774,761.0
51,73658045.0,51573925.0,18286420.0,30000000,418.0,tt2406566,506.0
53,71873047.0,50701325.0,19153698.0,60000000,318.0,tt1648190,554.0
54,70758273.0,48958273.0,364437.0,10000000,400.0,tt4925292,432.0
57,197183546.0,45020282.0,13210449.0,60000000,100.0,tt2398241,67.0
58,52488503.0,45003463.0,11932330.0,25000000,176.0,tt2568862,117.0
60,346147658.0,44898413.0,20130142.0,85000000,267.0,tt1293847,306.0
61,43609741.0,44307191.0,11205561.0,5500000,232.0,tt2932536,268.0
62,44328624.0,42872467.0,421577.0,5000000,316.0,tt5462602,257.0
64,130246659.0,40533014.0,18676033.0,110000000,419.0,tt1219827,818.0
65,225874228.0,40479370.0,17007624.0,177200000,349.0,tt2239822,798.0
67,140775066.0,39175066.0,15371270.0,175000000,327.0,tt1972591,697.0
69,66167951.0,36249674.0,14846778.0,33000000,199.0,tt1961175,226.0
73,212900160.0,33700160.0,13707376.0,120000000,160.0,tt1981128,392.0
74,41087017.0,32187017.0,12201873.0,22000000,116.0,tt3401882,112.0
76,24527158.0,30718107.0,10016323.0,21000000,97.0,tt1458169,218.0
78,100541806.0,30234022.0,12501936.0,58000000,374.0,tt5442430,777.0
84,83018523.0,27780085.0,13002632.0,25000000,195.0,tt0498381,175.0
86,33281529.0,25481529.0,8724795.0,40000000,92.0,tt4481514,120.0
87,39351407.0,25106315.0,5584684.0,50000000,268.0,tt5294550,152.0
88,40193907.0,24801212.0,446380.0,7000000,190.0,tt4481414,151.0
89,38716619.0,24449754.0,4954287.0,68000000,310.0,tt1389072,447.0
90,23239232.0,22377458.0,13378000.0,7400000,170.0,tt4030600,146.0
92,44436928.0,22062200.0,8004283.0,20000000,168.0,tt4799050,136.0
96,17413596.0,20757977.0,8468787.0,30000000,105.0,tt2072233,109.0
101,40353565.0,18095701.0,412932.0,4000000,414.0,tt5726616,495.0
110,14053908.0,14301505.0,5467084.0,12000000,124.0,tt5322012,83.0
114,12498674.0,12230791.0,4690214.0,5000000,146.0,tt1691916,129.0
117,15871398.0,10576669.0,229292.0,10500000,310.0,tt5592248,205.0
120,14793385.0,7829766.0,3775596.0,30000000,145.0,tt3922818,147.0
139,870325439.0,2721100.0,219022.0,29700000,31.0,tt7131870,60.0
143,33351909.0,2395410.0,170575.0,18000000,371.0,tt2763304,230.0
150,6402104.0,1910685.0,924201.0,2000000,11.0,tt5537228,10.0
164,15400000.0,1263439.0,60132.0,5400000,51.0,tt4538916,30.0
178,216284400.0,870451.0,469259.0,63300000,18.0,tt5273624,17.0
186,402918.0,603582.0,21341.0,7000000,76.0,tt5348236,10.0
215,10215337.0,211347.0,15157.0,7870000,52.0,tt5247704,6.0
0,2068178225.0,936662225.0,247966675.0,245000000,853.0,tt2488496,4382.0
1,1670400637.0,652270625.0,208806270.0,150000000,668.0,tt0369610,1406.0
2,1405413868.0,459005868.0,191271109.0,250000000,662.0,tt2395427,1161.0
3,857611174.0,356461711.0,90440272.0,175000000,567.0,tt2096673,871.0
4,1516045911.0,353007020.0,147187040.0,190000000,441.0,tt2820852,699.0
5,1163534901.0,336045770.0,115200000.0,74000000,326.0,tt2293640,302.0
6,653428261.0,281723902.0,102665981.0,160000000,416.0,tt1951266,417.0
7,629281283.0,228433663.0,54308575.0,108000000,606.0,tt3659388,1132.0
8,543514353.0,201151353.0,67877361.0,95000000,362.0,tt1661199,358.0
9,880674175.0,200074175.0,70403148.0,245000000,632.0,tt2379713,1076.0
10,700868363.0,195042377.0,55520089.0,150000000,486.0,tt2381249,476.0
11,287506194.0,184296230.0,70300000.0,29000000,235.0,tt2848292,205.0
12,532925985.0,183637894.0,471000.0,135000000,606.0,tt1663202,1335.0
13,519445163.0,180202163.0,57225526.0,130000000,541.0,tt0478970,597.0
14,387663547.0,177397510.0,52107731.0,135000000,172.0,tt2224026,224.0
15,473226958.0,169700110.0,48464322.0,80000000,165.0,tt2510894,114.0
16,571006128.0,166167230.0,8600000.0,40000000,388.0,tt2322441,1443.0
17,323436538.0,162994032.0,55365012.0,74000000,149.0,tt2279373,156.0
18,201634991.0,161197785.0,56100000.0,28000000,373.0,tt1398426,360.0
19,473990832.0,155190832.0,54588173.0,110000000,375.0,tt2126355,541.0
21,240360392.0,150357137.0,38740203.0,50000000,164.0,tt1528854,169.0
22,297276329.0,130179072.0,52263680.0,110000000,275.0,tt2908446,281.0
23,246233113.0,130178411.0,44213073.0,99000000,220.0,tt2452042,174.0
24,331926147.0,123087120.0,39155217.0,200000000,316.0,tt1979388,396.0
25,236400000.0,110825712.0,29085719.0,65000000,368.0,tt3079380,439.0
26,140795793.0,110212700.0,30097040.0,35000000,347.0,tt3152624,352.0
27,173567581.0,109767581.0,29632823.0,35000000,465.0,tt3076658,429.0
28,209154322.0,93436322.0,32972000.0,190000000,455.0,tt1964418,539.0
29,111811453.0,90411453.0,33803253.0,40000000,178.0,tt2561572,156.0
30,440603537.0,89760956.0,27018486.0,155000000,491.0,tt1340138,927.0
31,105929161.0,87044645.0,13922855.0,30000000,171.0,tt1850457,161.0
32,234758158.0,85886987.0,14287159.0,90000000,72.0,tt2974918,55.0
33,312268954.0,81670090.0,30316510.0,61000000,265.0,tt4046784,401.0
34,215863606.0,81476385.0,33507870.0,68000000,289.0,tt2637276,243.0
35,156246468.0,80080379.0,23618556.0,58000000,231.0,tt1051904,180.0
36,244866996.0,78747585.0,24011616.0,88000000,265.0,tt2120120,386.0
37,194564672.0,75764672.0,17728313.0,35000000,254.0,tt2361509,376.0
38,165478348.0,72313754.0,15371203.0,40000000,487.0,tt3682448,415.0
39,107588225.0,71038190.0,23762435.0,30000000,79.0,tt3450650,143.0
40,133346506.0,70259870.0,705527.0,28000000,455.0,tt1596363,434.0
42,122513057.0,66013057.0,11600000.0,14800000,230.0,tt2268016,141.0
43,98450062.0,65206105.0,25427560.0,5000000,401.0,tt3567288,536.0
44,80171596.0,64460211.0,24500000.0,23000000,117.0,tt0884732,119.0
45,99775678.0,62575678.0,22635037.0,53000000,405.0,tt1355683,327.0
46,104884188.0,58884188.0,14681108.0,31000000,218.0,tt1524930,253.0
48,101134059.0,56451232.0,17500000.0,60000000,338.0,tt2446980,301.0
49,167977596.0,56117548.0,25685737.0,120000000,404.0,tt1502712,759.0
50,155760117.0,54117416.0,4610676.0,44000000,645.0,tt3460252,1183.0
51,159062963.0,53862963.0,18685137.0,50100000,288.0,tt2381941,243.0
52,91970827.0,52421953.0,16701294.0,30000000,333.0,tt1798684,306.0
53,120678444.0,52218558.0,22692741.0,10000000,242.0,tt3195644,205.0
54,95437994.0,47425125.0,22600000.0,35000000,273.0,tt1029360,357.0
55,183887723.0,47387723.0,18372372.0,176000000,399.0,tt1617661,779.0
56,84872444.0,46889293.0,401288.0,30000000,523.0,tt3397884,561.0
57,109845109.0,45445109.0,13535000.0,75000000,371.0,tt1638355,399.0
58,91191352.0,45055776.0,295009.0,20000000,502.0,tt1895587,485.0
61,202394678.0,43482270.0,7222035.0,55000000,379.0,tt2719848,301.0
64,61788393.0,42592530.0,16293325.0,15000000,239.0,tt3850590,244.0
69,128388320.0,35088320.0,15315435.0,150000000,265.0,tt3332064,207.0
73,61619773.0,33305037.0,2091551.0,11000000,211.0,tt2404425,167.0
